_id,epi_week,disease,no._of_cases
575,2012-W19,Meningococcal Infection,0
576,2012-W19,Mumps,19
577,2012-W19,Nipah virus infection,0
578,2012-W19,Paratyphoid,0
579,2012-W19,Pertussis,0
580,2012-W19,Plague,0
581,2012-W19,Pneumococcal Disease (invasive),1
582,2012-W19,Poliomyelitis,0
583,2012-W19,Rubella,2
584,2012-W19,Salmonellosis(non-enteric fevers),34
585,2012-W19,SARS,0
586,2012-W19,Typhoid,2
587,2012-W19,Viral Hepatitis A,1
588,2012-W19,Viral Hepatitis E,5
589,2012-W19,Yellow Fever,0
590,2012-W20,Acute Viral hepatitis B,1
591,2012-W20,Acute Viral hepatitis C,0
592,2012-W20,Avian Influenza,0
593,2012-W20,Campylobacterenterosis,7
594,2012-W20,Chikungunya Fever,0
595,2012-W20,Cholera,0
596,2012-W20,Dengue Fever,80
597,2012-W20,Dengue Haemorrhagic Fever,0
598,2012-W20,Diphtheria,0
599,2012-W20,Encephalitis,0
600,2012-W20,Haemophilus influenzae type b,0
601,2012-W20,"Hand, Foot Mouth Disease",1682
602,2012-W20,Legionellosis,0
603,2012-W20,Malaria,2
604,2012-W20,Measles,0
605,2012-W20,Melioidosis,2
606,2012-W20,Meningococcal Infection,0
607,2012-W20,Mumps,11
608,2012-W20,Nipah virus infection,0
609,2012-W20,Paratyphoid,3
610,2012-W20,Pertussis,1
611,2012-W20,Plague,0
612,2012-W20,Pneumococcal Disease (invasive),2
613,2012-W20,Poliomyelitis,0
614,2012-W20,Rubella,0
615,2012-W20,Salmonellosis(non-enteric fevers),28
616,2012-W20,SARS,0
617,2012-W20,Typhoid,2
618,2012-W20,Viral Hepatitis A,2
619,2012-W20,Viral Hepatitis E,4
620,2012-W20,Yellow Fever,0
621,2012-W21,Acute Viral hepatitis B,1
622,2012-W21,Acute Viral hepatitis C,0
623,2012-W21,Avian Influenza,0
624,2012-W21,Campylobacterenterosis,6
625,2012-W21,Chikungunya Fever,0
626,2012-W21,Cholera,1
627,2012-W21,Dengue Fever,80
628,2012-W21,Dengue Haemorrhagic Fever,0
629,2012-W21,Diphtheria,0
630,2012-W21,Encephalitis,0
631,2012-W21,Haemophilus influenzae type b,0
632,2012-W21,"Hand, Foot Mouth Disease",1458
633,2012-W21,Legionellosis,0
634,2012-W21,Malaria,1
635,2012-W21,Measles,0
636,2012-W21,Melioidosis,0
637,2012-W21,Meningococcal Infection,0
638,2012-W21,Mumps,10
639,2012-W21,Nipah virus infection,0
640,2012-W21,Paratyphoid,0
641,2012-W21,Pertussis,0
642,2012-W21,Plague,0
643,2012-W21,Pneumococcal Disease (invasive),3
644,2012-W21,Poliomyelitis,0
645,2012-W21,Rubella,1
646,2012-W21,Salmonellosis(non-enteric fevers),32
647,2012-W21,SARS,0
648,2012-W21,Typhoid,3
649,2012-W21,Viral Hepatitis A,2
650,2012-W21,Viral Hepatitis E,2
651,2012-W21,Yellow Fever,0
652,2012-W22,Acute Viral hepatitis B,3
653,2012-W22,Acute Viral hepatitis C,0
654,2012-W22,Avian Influenza,0
655,2012-W22,Campylobacterenterosis,7
656,2012-W22,Chikungunya Fever,0
657,2012-W22,Cholera,0
658,2012-W22,Dengue Fever,81
659,2012-W22,Dengue Haemorrhagic Fever,0
660,2012-W22,Diphtheria,0
661,2012-W22,Encephalitis,0
662,2012-W22,Haemophilus influenzae type b,0
663,2012-W22,"Hand, Foot Mouth Disease",1105
664,2012-W22,Legionellosis,1
665,2012-W22,Malaria,2
666,2012-W22,Measles,1
667,2012-W22,Melioidosis,1
