origin_week,target_week,h,predicted,lower,upper,actual,abs_error,signed_error,in_pi,winkler_alpha20,p_exceed_200,p_exceed_300,p_exceed_400,p_exceed_500,model_kind
2020-02-16,2020-03-01,2,316.9365748503041,199.88730934981933,433.98584035078886,375.0,58.06342514969589,-58.06342514969589,True,234.09853100096953,0.8997917988383823,0.5735590316633059,0.18154813536262804,0.022513368723333205,sarima
2020-02-16,2020-03-08,3,300.3693371515635,157.1293025374599,443.6093717656671,389.0,88.63066284843649,-88.63066284843649,True,286.4800692282072,0.8154142808495659,0.5013183185173957,0.1863526464463543,0.03703835182686954,sarima
2020-02-16,2020-03-15,4,285.96112657066,115.492848546327,456.429404594993,368.0,82.03887342934001,-82.03887342934001,True,340.93655604866603,0.7409463110973966,0.4579713429878469,0.19562372895216462,0.05378972741908761,sarima
2020-02-16,2020-03-22,5,288.25119910557413,95.64501726541613,480.85738094573213,377.0,88.74880089442587,-88.74880089442587,True,385.212363680316,0.7214729511634402,0.4688438563427151,0.22856662521481952,0.0794213047361172,sarima
2020-02-16,2020-03-29,6,297.3171498605852,84.11797196541096,510.5163277557594,315.0,17.682850139414825,-17.682850139414825,True,426.39835579034843,0.7207263626914138,0.49356639153288007,0.2685331445542912,0.11153915381254143,sarima
2020-02-16,2020-04-05,7,313.8139453922751,81.49831122484275,546.1295795597075,343.0,29.186054607724884,-29.186054607724884,True,464.6312683348648,0.7349553560642103,0.5303725789185785,0.3172307094910247,0.15218196749305046,sarima
2020-02-16,2020-04-12,8,323.85133146063475,74.02137336293174,573.6812895583378,360.0,36.14866853936525,-36.14866853936525,True,499.659916195406,0.7373978301259689,0.5486909384485642,0.34803380966350994,0.1830976309086787,sarima
2020-02-16,2020-04-19,9,345.95716551623406,79.6486596667786,612.2656713656895,400.0,54.042834483765944,-54.042834483765944,True,532.6170116989109,0.7587893516473907,0.587518871511628,0.39740135037463376,0.22924804008642496,sarima
2020-02-16,2020-04-26,10,382.8787551161667,101.03924476891513,664.7182654634182,390.0,7.121244883833299,-7.121244883833299,True,563.6790206945032,0.797182294149078,0.6468656249846166,0.4689717367502576,0.2971615594673842,sarima
2020-02-16,2020-05-03,11,475.90053407376246,179.3546404749078,772.4464276726171,507.0,31.099465926237542,-31.099465926237542,True,593.0917871977093,0.8834430225941703,0.7764324131645004,0.6285531835351379,0.4585243256303573,sarima
2020-02-16,2020-05-10,12,497.90692317557955,187.33523651300186,808.4786098381572,526.0,28.09307682442045,-28.09307682442045,True,621.1433733251554,0.890527409007895,0.7929441795608132,0.6569013963428417,0.49655427611719527,sarima
2020-03-15,2020-03-22,1,377.419502286158,288.82197312172497,466.017031450591,377.0,0.4195022861579787,0.4195022861579787,True,177.19505832886603,0.9948626788960142,0.8686229201601634,0.37197150622371866,0.038099630314904154,sarima
2020-03-15,2020-03-29,2,389.02857943142243,272.42388718663153,505.6332716762133,315.0,74.02857943142243,74.02857943142243,True,233.2093844895818,0.9811273341256163,0.8360892863789997,0.45200921020562057,0.1112921899125282,sarima
2020-03-15,2020-04-05,3,404.68809417916236,261.9710430160621,547.4051453422626,343.0,61.68809417916236,61.68809417916236,True,285.4341023262005,0.9669761900802586,0.8264167967672562,0.5167901570248011,0.19602613195471796,sarima
2020-03-15,2020-04-12,4,415.8943795234288,246.06249718782928,585.7262618590283,360.0,55.894379523428825,55.894379523428825,True,339.66376467119903,0.948364740057958,0.8090966303541651,0.5477360623815772,0.26281691055230805,sarima
