week_start,Dengue Fever,Dengue Haemorrhagic Fever,Total Dengue Cases,moving_avg_12w,avg_temp_c,min_temp_c,max_temp_c,avg_relative_humidity_pct,avg_wind_speed,warm_day_share,source_rows,source_query_start,source_query_end,weather_lag_days,weather_overlap_flag
2017-08-20,51,1,52,62.083333333333336,28.551020408163264,24.0,33.10204081632653,76.58163265306122,10.96938775510204,0.9387755102040817,49.0,2017-04-16,2017-04-22,126.0,1
2017-08-27,33,0,33,59.666666666666664,28.58490566037736,24.0,33.16981132075472,77.02830188679245,13.726415094339623,0.9622641509433962,53.0,2017-04-23,2017-04-29,126.0,1
2017-09-03,40,0,40,56.333333333333336,28.754545454545454,24.272727272727273,33.236363636363635,77.22727272727273,14.590909090909092,1.0,55.0,2017-04-30,2017-05-06,126.0,1
2017-09-10,53,0,53,54.666666666666664,28.20967741935484,23.967741935483872,32.45161290322581,78.66935483870968,16.693548387096776,0.9193548387096774,62.0,2017-05-07,2017-05-13,126.0,1
2017-09-17,58,1,59,53.333333333333336,29.010204081632654,24.857142857142858,33.16326530612245,77.8061224489796,19.489795918367346,1.0,49.0,2017-05-14,2017-05-20,126.0,1
2017-09-24,39,0,39,51.333333333333336,28.84375,24.916666666666668,32.770833333333336,78.28125,17.708333333333332,0.9791666666666666,48.0,2017-05-21,2017-05-27,126.0,1
2017-10-01,51,1,52,51.25,28.735849056603772,24.547169811320753,32.924528301886795,78.72641509433963,18.066037735849058,0.8679245283018868,53.0,2017-05-28,2017-06-03,126.0,1
2017-10-08,55,0,55,51.583333333333336,29.988372093023255,25.790697674418606,34.18604651162791,74.4186046511628,15.581395348837209,1.0,43.0,2017-06-04,2017-06-10,126.0,1
2017-10-15,62,1,63,51.25,29.18421052631579,25.087719298245613,33.280701754385966,76.57894736842105,13.991228070175438,0.9824561403508771,57.0,2017-06-11,2017-06-17,126.0,1
2017-10-22,77,0,77,52.666666666666664,28.836363636363636,24.763636363636362,32.90909090909091,77.31818181818181,14.772727272727273,0.9454545454545454,55.0,2017-06-18,2017-06-24,126.0,1
2017-10-29,62,0,62,53.166666666666664,28.745454545454546,24.87272727272727,32.61818181818182,78.31818181818181,13.909090909090908,0.8363636363636363,55.0,2017-06-25,2017-07-01,126.0,1
2017-11-05,44,0,44,52.416666666666664,28.526315789473685,24.666666666666668,32.3859649122807,78.24561403508773,18.728070175438596,0.8070175438596491,57.0,2017-07-02,2017-07-08,126.0,1
2017-11-12,50,0,50,52.25,28.096774193548388,24.20967741935484,31.983870967741936,79.15322580645162,18.75,0.7580645161290323,62.0,2017-07-09,2017-07-15,126.0,1
2017-11-19,24,0,24,51.5,29.1046511627907,25.209302325581394,33.0,75.40697674418605,18.197674418604652,1.0,43.0,2017-07-16,2017-07-22,126.0,1
2017-11-26,37,1,38,51.333333333333336,29.104166666666668,25.375,32.833333333333336,75.83333333333333,19.583333333333332,0.9375,48.0,2017-07-23,2017-07-29,126.0,1
2017-12-03,33,1,34,49.75,29.178571428571427,25.452380952380953,32.904761904761905,77.14285714285714,20.476190476190474,1.0,42.0,2017-07-30,2017-08-05,126.0,1
2017-12-10,40,0,40,48.166666666666664,28.551724137931036,24.982758620689655,32.12068965517241,78.62068965517241,16.25,0.7413793103448276,58.0,2017-08-06,2017-08-12,126.0,1
2017-12-17,51,0,51,49.166666666666664,28.908333333333335,25.15,32.666666666666664,78.25,16.833333333333332,0.9,60.0,2017-08-13,2017-08-19,126.0,1
2017-12-24,66,0,66,50.333333333333336,29.14,25.36,32.92,77.3,19.45,0.98,50.0,2017-08-20,2017-08-26,126.0,1
2017-12-31,83,0,83,52.666666666666664,29.129032258064516,25.29032258064516,32.96774193548387,77.01612903225806,16.572580645161292,0.9516129032258065,62.0,2017-08-27,2017-09-02,126.0,1
2018-01-07,68,0,68,53.083333333333336,28.441176470588236,24.45098039215686,32.431372549019606,77.25490196078431,16.42156862745098,0.9019607843137255,51.0,2017-09-03,2017-09-09,126.0,1
2018-01-14,54,0,54,51.166666666666664,28.725,24.7,32.75,77.75,18.375,0.9,40.0,2017-09-10,2017-09-16,126.0,1
2018-01-21,45,0,45,49.75,28.401785714285715,24.285714285714285,32.517857142857146,77.54464285714286,19.196428571428573,0.8214285714285714,56.0,2017-09-17,2017-09-23,126.0,1
2018-01-28,48,0,48,50.083333333333336,28.745098039215687,24.647058823529413,32.84313725490196,76.76470588235294,12.794117647058824,0.9607843137254902,51.0,2017-09-24,2017-09-30,126.0,1
2018-02-04,50,0,50,50.083333333333336,28.646551724137932,24.379310344827587,32.91379310344828,78.10344827586206,14.310344827586206,0.9310344827586207,58.0,2017-10-01,2017-10-07,126.0,1
2018-02-11,28,0,28,50.416666666666664,28.279661016949152,24.16949152542373,32.389830508474574,78.30508474576271,17.11864406779661,0.847457627118644,59.0,2017-10-08,2017-10-14,126.0,1
2018-02-18,38,1,39,50.5,29.825581395348838,25.558139534883722,34.093023255813954,73.54651162790698,14.883720930232558,1.0,43.0,2017-10-15,2017-10-21,126.0,1
2018-02-25,51,0,51,51.916666666666664,28.861702127659573,24.638297872340427,33.08510638297872,76.59574468085107,16.648936170212767,1.0,47.0,2017-10-22,2017-10-28,126.0,1
2018-03-04,37,0,37,51.666666666666664,28.12280701754386,23.912280701754387,32.333333333333336,79.47368421052632,17.982456140350877,0.8771929824561403,57.0,2017-10-29,2017-11-04,126.0,1
2018-03-11,37,2,39,50.666666666666664,28.408333333333335,24.233333333333334,32.583333333333336,78.20833333333333,13.875,0.8833333333333333,60.0,2017-11-05,2017-11-11,126.0,1
2018-03-18,36,0,36,48.166666666666664,28.5,24.210526315789473,32.78947368421053,77.36842105263158,13.508771929824562,0.9824561403508771,57.0,2017-11-12,2017-11-18,126.0,1
2018-03-25,24,0,24,43.25,27.811475409836067,23.639344262295083,31.983606557377048,79.09836065573771,16.024590163934427,0.7049180327868853,61.0,2017-11-19,2017-11-25,126.0,1
2018-04-01,38,0,38,40.75,28.287037037037038,24.25925925925926,32.31481481481482,78.33333333333333,20.462962962962962,0.7962962962962963,54.0,2017-11-26,2017-12-02,126.0,1
2018-04-08,38,0,38,39.416666666666664,28.21698113207547,24.037735849056602,32.39622641509434,78.30188679245283,15.849056603773585,0.7547169811320755,53.0,2017-12-03,2017-12-09,126.0,1
2018-04-15,56,0,56,40.333333333333336,28.153846153846153,23.673076923076923,32.63461538461539,76.77884615384616,18.173076923076923,0.9423076923076923,52.0,2017-12-10,2017-12-16,126.0,1
2018-04-22,55,1,56,41.0,27.86111111111111,23.62962962962963,32.092592592592595,76.48148148148148,22.037037037037038,0.7777777777777778,54.0,2017-12-17,2017-12-23,126.0,1
2018-04-29,74,3,77,43.25,27.916666666666668,23.59090909090909,32.24242424242424,77.61363636363636,19.015151515151516,0.803030303030303,66.0,2017-12-24,2017-12-30,126.0,1
2018-05-06,62,0,62,46.083333333333336,27.22641509433962,23.50943396226415,30.943396226415093,80.14150943396227,14.764150943396226,0.5471698113207547,53.0,2017-12-31,2018-01-06,126.0,1
2018-05-13,63,1,64,48.166666666666664,26.3359375,22.859375,29.8125,82.1484375,19.1015625,0.5,64.0,2018-01-07,2018-01-13,126.0,1
2018-05-20,64,1,65,49.333333333333336,27.423728813559322,23.406779661016948,31.440677966101696,79.40677966101696,18.85593220338983,0.6779661016949152,59.0,2018-01-14,2018-01-20,126.0,1
2018-05-27,52,2,54,50.75,28.35576923076923,23.73076923076923,32.98076923076923,75.86538461538461,16.875,1.0,52.0,2018-01-21,2018-01-27,126.0,1
2018-06-03,75,0,75,53.75,27.935185185185187,23.77777777777778,32.092592592592595,77.82407407407408,20.60185185185185,0.6851851851851852,54.0,2018-01-28,2018-02-03,126.0,1
2018-06-10,55,0,55,55.333333333333336,27.63953488372093,22.906976744186046,32.372093023255815,72.20930232558139,20.11627906976744,0.8837209302325582,43.0,2018-02-04,2018-02-10,126.0,1
2018-06-17,59,2,61,58.416666666666664,28.607843137254903,23.647058823529413,33.568627450980394,73.03921568627452,16.323529411764707,1.0,51.0,2018-02-11,2018-02-17,126.0,1
2018-06-24,75,1,76,61.583333333333336,28.3,23.70909090909091,32.89090909090909,75.54545454545455,16.59090909090909,0.9272727272727272,55.0,2018-02-18,2018-02-24,126.0,1
2018-07-01,56,2,58,63.25,28.5,23.74074074074074,33.25925925925926,76.71296296296296,15.0,1.0,54.0,2018-02-25,2018-03-03,126.0,1
2018-07-08,44,0,44,62.25,28.305084745762713,23.71186440677966,32.898305084745765,76.10169491525424,16.694915254237287,0.7966101694915254,59.0,2018-03-04,2018-03-10,126.0,1
2018-07-15,41,0,41,61.0,28.686274509803923,23.862745098039216,33.509803921568626,75.04901960784314,14.019607843137255,0.9607843137254902,51.0,2018-03-11,2018-03-17,126.0,1
2018-07-22,56,0,56,59.25,29.362745098039216,24.19607843137255,34.529411764705884,73.23529411764706,13.57843137254902,1.0,51.0,2018-03-18,2018-03-24,126.0,1
2018-07-29,50,1,51,58.333333333333336,28.18103448275862,23.879310344827587,32.48275862068966,77.71551724137932,12.887931034482758,0.8275862068965517,58.0,2018-03-25,2018-03-31,126.0,1
2018-08-05,59,0,59,57.916666666666664,29.306122448979593,24.448979591836736,34.16326530612245,74.89795918367346,13.418367346938776,1.0,49.0,2018-04-01,2018-04-07,126.0,1
2018-08-12,42,1,43,56.083333333333336,29.12162162162162,24.35135135135135,33.891891891891895,75.8108108108108,14.662162162162161,1.0,37.0,2018-04-08,2018-04-14,126.0,1
2018-08-19,66,2,68,57.25,28.76086956521739,23.97826086956522,33.54347826086956,76.68478260869566,9.184782608695652,0.9130434782608695,46.0,2018-04-15,2018-04-21,126.0,1
2018-08-26,75,0,75,57.25,28.575,23.8,33.35,76.25,12.75,1.0,40.0,2018-04-22,2018-04-28,126.0,1
2018-09-02,75,1,76,59.0,29.308333333333334,24.916666666666668,33.7,76.58333333333333,9.583333333333334,0.9666666666666667,60.0,2018-04-29,2018-05-05,126.0,1
2018-09-09,49,0,49,58.0,29.73076923076923,25.346153846153847,34.11538461538461,75.86538461538461,11.73076923076923,1.0,52.0,2018-05-06,2018-05-12,126.0,1
2018-09-16,63,0,63,56.916666666666664,29.1,24.87272727272727,33.32727272727273,76.5909090909091,8.045454545454545,0.8909090909090909,55.0,2018-05-13,2018-05-19,126.0,1
